symbol,company_name,sector
A,"Agilent Technologies, Inc. Common Stock",Healthcare
AA,Alcoa Corporation Common Stock ,Basic Materials
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,Financial Services
AAM,AA Mission Acquisition Corp. Class A Ordinary Shares,Financial Services
AAMI,Acadian Asset Management Inc. Common Stock,Financial Services
AAP,Advance Auto Parts Inc.,Consumer Cyclical
AAT,"American Assets Trust, Inc. Common Stock",Real Estate
AAUC,Allied Gold Corporation Common Shares,Basic Materials
AB,AllianceBernstein Holding L.P.  Units,Financial Services
ABBV,AbbVie Inc. Common Stock,Healthcare
ABCB,Ameris Bancorp Common Stock,Financial Services
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Consumer Defensive
ABG,Asbury Automotive Group Inc Common Stock,Consumer Cyclical
ABM,ABM Industries Incorporated Common Stock,Industrials
ABR,Arbor Realty Trust Common Stock,Real Estate
ABT,Abbott Laboratories Common Stock,Healthcare
AC,"Associated Capital Group, Inc. Common Stock",Financial Services
ACA,"Arcosa, Inc. Common Stock ",Industrials
ACCO,Acco Brands Corporation Common Stock,Industrials
ACEL,"Accel Entertainment, Inc. ",Consumer Cyclical
ACHR,Archer Aviation Inc. Class A Common Stock,Industrials
ACI,"Albertsons Companies, Inc. Class A Common Stock",Consumer Defensive
ACLO,TCW AAA CLO ETF,Unknown
ACM,AECOM Common Stock,Industrials
ACN,Accenture plc Class A Ordinary Shares (Ireland),Technology
ACP,abrdn Income Credit Strategies Fund Common Shares,Financial Services
ACR,ACRES Commercial Realty Corp. Common Stock,Real Estate
ACRE,Ares Commercial Real Estate Corporation Common Stock,Real Estate
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,Financial Services
ACVA,ACV Auctions Inc. Class A Common Stock,Consumer Cyclical
ADC,Agree Realty Corporation Common Stock,Real Estate
ADCT,ADC Therapeutics SA Common Shares,Healthcare
ADM,Archer,Consumer Defensive
ADNT,Adient plc Ordinary Shares ,Consumer Cyclical
ADT,ADT Inc. Common Stock,Industrials
ADX,Adams Diversified Equity Fund Inc.,Financial Services
AEE,Ameren Corporation Common Stock,Utilities
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,Unknown
AEG,Aegon Ltd. New York Registry Shares,Financial Services
AEM,Agnico Eagle Mines Limited Common Stock,Basic Materials
AEO,"American Eagle Outfitters, Inc. Common Stock",Consumer Cyclical
AER,AerCap Holdings N.V. Ordinary Shares,Industrials
AES,The AES Corporation Common Stock,Utilities
AESI,Atlas Energy Solutions Inc. Common Stock,Energy
AFB,AllianceBernstein National Municipal Income Fund Inc,Financial Services
AFG,"American Financial Group, Inc. Common Stock",Financial Services
AFGB,"American Financial Group, Inc. 5.875% Subordinated Debentures due 2059",Unknown
AFGC,"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059",Unknown
AFGD,"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060",Unknown
AFGE,"American Financial Group, Inc. 4.500% Subordinated Debentures due 2060",Unknown
